,statecode,tech,bc_hundred,bc_oneG,bc_ten,bc_twentyfive,blockcode,hundred_fifty,oneG,providername,ten,twentyfive_three,type
0,42,Cable,0,0,42017,41602,276763,0.0,0,27,42228.0,41810.0,business
1,42,Fiber,55143,0,56970,56723,167488,60638.0,0,59,63331.0,62954.0,business
2,42,Fixed Wireless,17,0,13850,11227,51934,17.0,0,23,14095.0,11449.0,business
3,42,Other,79,0,1044,955,5916,84.0,0,26,1149.0,1037.0,business
4,42,Satellite,0,0,406138,0,421086,0.0,0,4,406138.0,0.0,business
5,42,aDSL,0,0,10499,3580,245679,0.0,0,45,10762.0,3582.0,business
6,42,Cable,0,0,272901,268601,273019,0.0,0,24,371285.0,359527.0,consumer
7,42,Fiber,133083,0,135847,134740,135938,136922.0,0,28,140570.0,139405.0,consumer
8,42,Fixed Wireless,1,0,16139,4884,59011,1.0,0,22,16359.0,5094.0,consumer
9,42,Other,0,0,99,87,106,0.0,0,4,99.0,87.0,consumer
10,42,Satellite,0,0,421086,0,421545,0.0,0,3,811945.0,0.0,consumer
11,42,aDSL,0,0,50006,14755,258065,0.0,0,33,58352.0,14770.0,consumer
12,42,2G,0,0,0,0,412504,0.0,0,7,0.0,0.0,mobile
13,42,3G,0,0,0,0,414380,0.0,0,5,0.0,0.0,mobile
14,42,4G_LTE,0,0,414284,0,414285,0.0,0,6,1475348.0,0.0,mobile
15,42,4G_NON_LTE,0,0,411815,0,411816,0.0,0,4,664969.0,0.0,mobile
0,19,Cable,0,0,3632,3189,64064,0.0,0,57,4991.0,4458.0,business
1,19,Fiber,17573,0,29569,26798,54352,18366.0,0,156,31981.0,28901.0,business
2,19,Fixed Wireless,68216,0,110191,104287,128328,68216.0,0,74,127183.0,117346.0,business
3,19,Other,76,0,1178,841,1891,76.0,0,16,1205.0,863.0,business
4,19,Satellite,0,0,210934,0,215811,0.0,0,4,210934.0,0.0,business
5,19,aDSL,0,0,14078,7502,95306,0.0,0,125,19882.0,11333.0,business
6,19,Cable,0,0,62063,60919,65242,0.0,0,52,67506.0,65635.0,consumer
7,19,Fiber,10609,0,43238,37461,45559,10715.0,0,142,45445.0,39024.0,consumer
8,19,Fixed Wireless,14412,0,107477,94705,141007,14412.0,0,79,127341.0,104913.0,consumer
9,19,Other,0,0,67,66,70,0.0,0,4,67.0,66.0,consumer
10,19,Satellite,0,0,215811,0,216007,0.0,0,3,421766.0,0.0,consumer
11,19,aDSL,0,0,60110,20881,113627,0.0,0,122,69210.0,20954.0,consumer
12,19,2G,0,0,0,0,215938,0.0,0,13,0.0,0.0,mobile
13,19,3G,0,0,0,0,215939,0.0,0,9,0.0,0.0,mobile
14,19,4G_LTE,0,0,215905,0,215906,0.0,0,10,694934.0,0.0,mobile
15,19,4G_NON_LTE,0,0,191569,0,191570,0.0,0,4,261969.0,0.0,mobile
0,40,Cable,0,0,13291,12758,52668,0.0,0,13,13303.0,12760.0,business
1,40,Fiber,8356,0,14261,12408,15518,8704.0,0,48,15035.0,13158.0,business
2,40,Fixed Wireless,47754,0,68541,64893,155062,47754.0,0,36,73305.0,69637.0,business
3,40,Other,3,0,265,264,979,3.0,0,13,271.0,270.0,business
4,40,Satellite,0,0,255094,0,268180,0.0,0,4,255094.0,0.0,business
5,40,aDSL,0,0,17416,3373,56998,0.0,0,49,17584.0,3488.0,business
6,40,Cable,0,0,67915,64279,71152,0.0,0,11,68455.0,64806.0,consumer
7,40,Fiber,3521,0,11137,8999,11795,3559.0,0,35,11557.0,9411.0,consumer
8,40,Fixed Wireless,818,0,68011,43495,163869,818.0,0,41,73789.0,43983.0,consumer
9,40,Other,0,0,0,0,4,0.0,0,3,0.0,0.0,consumer
10,40,Satellite,0,0,268180,0,269118,0.0,0,3,471011.0,0.0,consumer
11,40,aDSL,0,0,40394,15534,134743,0.0,0,45,40914.0,15708.0,consumer
12,40,2G,0,0,0,0,267436,0.0,0,15,0.0,0.0,mobile
13,40,3G,0,0,0,0,268228,0.0,0,15,0.0,0.0,mobile
14,40,4G_LTE,0,0,267804,0,267805,0.0,0,13,1177269.0,0.0,mobile
15,40,4G_NON_LTE,0,0,259834,0,259835,0.0,0,3,327356.0,0.0,mobile
0,48,Cable,4,0,8030,4396,422279,4.0,0,37,8052.0,4396.0,business
1,48,Fiber,48233,0,59958,57048,101159,50670.0,0,121,65182.0,61724.0,business
2,48,Fixed Wireless,346568,0,449547,363730,589587,467948.0,0,120,684942.0,507192.0,business
3,48,Other,172,0,5718,5280,18063,182.0,0,47,6190.0,5576.0,business
4,48,Satellite,0,0,876637,0,910667,0.0,0,5,876637.0,0.0,business
5,48,aDSL,18,0,11745,5228,172287,18.0,0,86,12010.0,5280.0,business
6,48,Cable,1,0,413885,398193,420125,1.0,0,32,442248.0,421226.0,consumer
7,48,Fiber,23773,0,75943,60054,81847,27150.0,0,74,81432.0,64438.0,consumer
8,48,Fixed Wireless,325,0,441225,352720,597911,325.0,0,126,788273.0,556629.0,consumer
9,48,Other,0,0,68,67,516,0.0,0,13,68.0,67.0,consumer
10,48,Satellite,0,0,910483,0,914231,0.0,0,4,1569711.0,0.0,consumer
11,48,aDSL,86,0,171147,85430,441113,86.0,0,75,177473.0,87215.0,consumer
12,48,2G,0,0,0,0,909037,0.0,0,15,0.0,0.0,mobile
13,48,3G,0,0,0,0,910011,0.0,0,14,0.0,0.0,mobile
14,48,4G_LTE,0,0,903543,0,903544,0.0,0,11,3347335.0,0.0,mobile
15,48,4G_NON_LTE,0,0,907008,0,907009,0.0,0,4,1556821.0,0.0,mobile
0,36,Cable,0,0,3291,3265,279315,0.0,0,18,3321.0,3294.0,business
1,36,Fiber,48350,0,51750,51442,127347,53521.0,0,60,58913.0,58329.0,business
2,36,Fixed Wireless,1333,0,25241,7048,50668,1360.0,0,22,26762.0,7186.0,business
3,36,Other,132,0,1515,1384,7886,140.0,0,27,1766.0,1559.0,business
4,36,Satellite,0,0,336787,0,349710,0.0,0,4,336787.0,0.0,business
5,36,aDSL,0,0,5719,2354,192839,0.0,0,48,7694.0,2381.0,business
6,36,Cable,0,0,279226,279220,279277,0.0,0,15,286157.0,284991.0,consumer
7,36,Fiber,93940,0,100457,99883,100480,93964.0,0,35,100979.0,100403.0,consumer
8,36,Fixed Wireless,9933,0,35691,17175,63805,9933.0,0,19,39222.0,17195.0,consumer
9,36,Other,0,0,111,111,131,0.0,0,3,111.0,111.0,consumer
10,36,Satellite,0,0,349710,0,350169,0.0,0,3,662316.0,0.0,consumer
11,36,aDSL,0,0,33334,3163,198772,0.0,0,40,45429.0,3246.0,consumer
12,36,2G,0,0,0,0,344811,0.0,0,6,0.0,0.0,mobile
13,36,3G,0,0,0,0,346233,0.0,0,4,0.0,0.0,mobile
14,36,4G_LTE,0,0,341850,0,341851,0.0,0,5,1183473.0,0.0,mobile
15,36,4G_NON_LTE,0,0,343132,0,343133,0.0,0,3,546739.0,0.0,mobile
0,13,Cable,1232,0,9722,6636,137235,1232.0,0,38,9880.0,6687.0,business
1,13,Fiber,24835,0,35194,33825,45810,26332.0,0,81,37528.0,36074.0,business
2,13,Fixed Wireless,1,0,14677,14647,17586,1.0,0,19,14678.0,14647.0,business
3,13,Other,68,0,16504,16343,30373,76.0,0,31,16983.0,16655.0,business
4,13,Satellite,0,0,270032,0,291086,0.0,0,4,270032.0,0.0,business
5,13,aDSL,0,0,14339,7549,31323,0.0,0,43,14543.0,7575.0,business
6,13,Cable,0,0,136440,131910,136666,0.0,0,33,149535.0,143456.0,consumer
7,13,Fiber,15158,0,36298,31816,38373,15186.0,0,43,37567.0,32072.0,consumer
8,13,Fixed Wireless,0,0,901,378,3048,0.0,0,16,914.0,378.0,consumer
9,13,Other,0,0,4,2,15,0.0,0,7,4.0,2.0,consumer
10,13,Satellite,0,0,291086,0,291086,0.0,0,3,561118.0,0.0,consumer
11,13,aDSL,0,0,72051,43636,148084,0.0,0,35,73572.0,43862.0,consumer
12,13,2G,0,0,0,0,289031,0.0,0,4,0.0,0.0,mobile
13,13,3G,0,0,0,0,290735,0.0,0,4,0.0,0.0,mobile
14,13,4G_LTE,0,0,289765,0,289766,0.0,0,4,1021901.0,0.0,mobile
15,13,4G_NON_LTE,0,0,289950,0,289951,0.0,0,2,443315.0,0.0,mobile
0,31,Cable,0,0,6486,4222,44106,0.0,0,22,6488.0,4223.0,business
1,31,Fiber,25415,0,27055,26953,48076,34269.0,0,56,36381.0,36174.0,business
2,31,Fixed Wireless,67879,0,107688,83160,163514,67879.0,0,35,159470.0,83490.0,business
3,31,Other,2,0,72,66,3923,2.0,0,11,73.0,67.0,business
4,31,Satellite,0,0,187843,0,187873,0.0,0,4,187843.0,0.0,business
5,31,aDSL,11,0,6149,2956,83797,11.0,0,40,6172.0,2956.0,business
6,31,Cable,0,0,50554,46937,52117,0.0,0,19,50832.0,46952.0,consumer
7,31,Fiber,9088,0,30500,28484,31704,9591.0,0,42,31329.0,29240.0,consumer
8,31,Fixed Wireless,13838,0,118092,64281,166126,13838.0,0,40,186497.0,64297.0,consumer
9,31,Other,0,0,0,0,4,0.0,0,1,0.0,0.0,consumer
10,31,Satellite,0,0,187873,0,193352,0.0,0,3,188249.0,0.0,consumer
11,31,aDSL,51,0,42642,14116,95586,51.0,0,40,45289.0,14116.0,consumer
12,31,2G,0,0,0,0,189518,0.0,0,11,0.0,0.0,mobile
13,31,3G,0,0,0,0,192164,0.0,0,10,0.0,0.0,mobile
14,31,4G_LTE,0,0,191071,0,191072,0.0,0,9,593985.0,0.0,mobile
15,31,4G_NON_LTE,0,0,116125,0,116126,0.0,0,3,135245.0,0.0,mobile
0,5,Cable,0,0,17562,8585,43872,0.0,0,16,18284.0,8586.0,business
1,5,Fiber,7186,0,27166,9091,28045,7312.0,0,36,29338.0,9273.0,business
2,5,Fixed Wireless,41,0,33106,63,40113,41.0,0,16,34014.0,63.0,business
3,5,Other,2,0,19778,232,20113,2.0,0,15,19801.0,232.0,business
4,5,Satellite,0,0,173203,0,186211,0.0,0,4,173203.0,0.0,business
5,5,aDSL,1121,0,22577,2859,54196,1121.0,0,32,24102.0,3291.0,business
6,5,Cable,0,0,47936,40609,51219,0.0,0,16,48850.0,40830.0,consumer
7,5,Fiber,4597,0,25544,24803,25778,4603.0,0,23,26146.0,25353.0,consumer
8,5,Fixed Wireless,40,0,37373,23994,40452,40.0,0,19,38306.0,23995.0,consumer
9,5,Other,0,0,19562,19562,19572,0.0,0,4,19562.0,19562.0,consumer
10,5,Satellite,0,0,186211,0,186211,0.0,0,3,359414.0,0.0,consumer
11,5,aDSL,79,0,51181,35684,95773,79.0,0,31,59423.0,38418.0,consumer
12,5,2G,0,0,0,0,182194,0.0,0,6,0.0,0.0,mobile
13,5,3G,0,0,0,0,184835,0.0,0,6,0.0,0.0,mobile
14,5,4G_LTE,0,0,182975,0,182976,0.0,0,6,601801.0,0.0,mobile
15,5,4G_NON_LTE,0,0,184027,0,184028,0.0,0,2,235812.0,0.0,mobile
0,34,Cable,0,0,6425,6398,139520,0.0,0,10,6437.0,6407.0,business
1,34,Fiber,24427,0,123078,123078,128211,29059.0,0,30,149247.0,149212.0,business
2,34,Fixed Wireless,51,0,1076,344,1079,51.0,0,6,1098.0,350.0,business
3,34,Other,63,0,530,442,126675,73.0,0,27,596.0,491.0,business
4,34,Satellite,0,0,160029,0,169505,0.0,0,4,160029.0,0.0,business
5,34,aDSL,1,0,201,10,99542,1.0,0,23,216.0,10.0,business
6,34,Cable,0,0,137221,137220,137222,0.0,0,7,146098.0,146096.0,consumer
7,34,Fiber,74381,0,74447,74446,74448,74385.0,0,5,74458.0,74453.0,consumer
8,34,Fixed Wireless,0,0,898,898,901,0.0,0,4,898.0,898.0,consumer
9,34,Other,0,0,7,6,10,0.0,0,6,7.0,6.0,consumer
10,34,Satellite,0,0,169505,0,169588,0.0,0,3,328562.0,0.0,consumer
11,34,aDSL,0,0,3688,1005,99616,0.0,0,10,4792.0,1005.0,consumer
12,34,2G,0,0,0,0,169564,0.0,0,4,0.0,0.0,mobile
13,34,3G,0,0,0,0,169560,0.0,0,4,0.0,0.0,mobile
14,34,4G_LTE,0,0,169576,0,169577,0.0,0,4,671008.0,0.0,mobile
15,34,4G_NON_LTE,0,0,168254,0,168255,0.0,0,2,326808.0,0.0,mobile
0,35,Cable,1041,0,1346,1317,29921,1041.0,0,11,1346.0,1317.0,business
1,35,Fiber,613,0,3916,3850,6524,634.0,0,25,3995.0,3924.0,business
2,35,Fixed Wireless,37712,0,43322,41997,82174,37712.0,0,29,43591.0,41999.0,business
3,35,Other,2,0,425,422,720,2.0,0,18,425.0,422.0,business
4,35,Satellite,0,0,165895,0,165895,0.0,0,3,165895.0,0.0,business
5,35,aDSL,0,0,2375,829,53908,0.0,0,28,2400.0,829.0,business
6,35,Cable,0,0,32877,31776,33057,0.0,0,8,32901.0,31800.0,consumer
7,35,Fiber,1870,0,6578,5641,6715,1870.0,0,17,6626.0,5659.0,consumer
8,35,Fixed Wireless,1,0,23132,17810,83876,1.0,0,28,23139.0,17811.0,consumer
9,35,Other,0,0,2,2,27,0.0,0,4,2.0,2.0,consumer
10,35,Satellite,0,0,165895,0,165895,0.0,0,3,165895.0,0.0,consumer
11,35,aDSL,0,0,33355,16281,57690,0.0,0,22,34511.0,16283.0,consumer
12,35,2G,0,0,0,0,159396,0.0,0,9,0.0,0.0,mobile
13,35,3G,0,0,0,0,159180,0.0,0,9,0.0,0.0,mobile
14,35,4G_LTE,0,0,155624,0,155625,0.0,0,6,448510.0,0.0,mobile
15,35,4G_NON_LTE,0,0,150753,0,150754,0.0,0,4,251371.0,0.0,mobile
0,6,Cable,0,0,9880,9409,383844,0.0,0,28,9896.0,9416.0,business
1,6,Fiber,39693,0,45064,44120,87846,42718.0,0,58,51337.0,49764.0,business
2,6,Fixed Wireless,90701,0,265906,241404,357371,90707.0,0,74,272701.0,244876.0,business
3,6,Other,947,0,32578,14803,50743,1001.0,0,39,38708.0,16269.0,business
4,6,Satellite,0,0,691487,0,704635,0.0,0,4,691487.0,0.0,business
5,6,aDSL,1,0,25620,20380,160942,2.0,0,43,66140.0,40390.0,business
6,6,Cable,0,0,393253,391301,395324,0.0,0,25,402309.0,399375.0,consumer
7,6,Fiber,11934,0,66142,65295,67655,12056.0,0,22,68820.0,67877.0,consumer
8,6,Fixed Wireless,2,0,207382,51925,257324,2.0,0,77,238542.0,58134.0,consumer
9,6,Other,271,0,20193,465,20209,275.0,0,10,20449.0,469.0,consumer
10,6,Satellite,0,0,704635,0,710145,0.0,0,3,1301626.0,0.0,consumer
11,6,aDSL,0,0,221749,191305,400172,0.0,0,24,289224.0,229112.0,consumer
12,6,2G,0,0,0,0,682905,0.0,0,7,0.0,0.0,mobile
13,6,3G,0,0,0,0,686767,0.0,0,7,0.0,0.0,mobile
14,6,4G_LTE,0,0,679001,0,679002,0.0,0,6,2513683.0,0.0,mobile
15,6,4G_NON_LTE,0,0,665608,0,665609,0.0,0,2,1234139.0,0.0,mobile
0,18,Cable,0,0,1628,800,139375,0.0,0,15,1628.0,800.0,business
1,18,Fiber,15627,0,32953,31912,38147,16256.0,0,67,44509.0,43427.0,business
2,18,Fixed Wireless,44874,0,72700,50733,156360,45533.0,0,51,79724.0,51457.0,business
3,18,Other,18390,0,18771,18748,38789,18395.0,0,25,18916.0,18886.0,business
4,18,Satellite,0,0,259425,0,267071,0.0,0,4,259425.0,0.0,business
5,18,aDSL,0,0,864,410,92098,0.0,0,44,911.0,410.0,business
6,18,Cable,0,0,135588,135034,135605,0.0,0,11,142731.0,141920.0,consumer
7,18,Fiber,7691,0,32234,29351,33014,7795.0,0,46,43529.0,40607.0,consumer
8,18,Fixed Wireless,3,0,35451,9678,169674,3.0,0,56,40876.0,9678.0,consumer
9,18,Other,0,0,0,0,2,0.0,0,1,0.0,0.0,consumer
10,18,Satellite,0,0,267071,0,267071,0.0,0,3,526496.0,0.0,consumer
11,18,aDSL,1,0,88693,40052,171656,1.0,0,33,101473.0,42750.0,consumer
12,18,2G,0,0,0,0,266885,0.0,0,8,0.0,0.0,mobile
13,18,3G,0,0,0,0,267052,0.0,0,8,0.0,0.0,mobile
14,18,4G_LTE,0,0,266549,0,266550,0.0,0,5,1015049.0,0.0,mobile
15,18,4G_NON_LTE,0,0,266860,0,266861,0.0,0,2,418586.0,0.0,mobile
0,27,Cable,3355,0,15112,10585,96831,3355.0,0,23,15188.0,10654.0,business
1,27,Fiber,8903,0,23368,22577,45461,9146.0,0,90,24529.0,23702.0,business
2,27,Fixed Wireless,21146,0,120445,119318,157501,21146.0,0,37,151782.0,149616.0,business
3,27,Other,276,0,1276,1083,7883,518.0,0,32,1582.0,1352.0,business
4,27,Satellite,0,0,240553,0,254888,0.0,0,4,240553.0,0.0,business
5,27,aDSL,1,0,23023,19454,152037,1.0,0,92,23841.0,19919.0,business
6,27,Cable,1437,0,93978,89229,94594,1437.0,0,20,98355.0,93034.0,consumer
7,27,Fiber,23369,0,45918,44860,46314,23664.0,0,75,47560.0,46477.0,consumer
8,27,Fixed Wireless,2163,0,93487,88262,157633,2163.0,0,44,129319.0,115654.0,consumer
9,27,Other,242,0,361,360,384,484.0,0,8,604.0,603.0,consumer
10,27,Satellite,0,0,254888,0,259777,0.0,0,3,447800.0,0.0,consumer
11,27,aDSL,0,0,75705,30943,147668,0.0,0,83,86189.0,31240.0,consumer
12,27,2G,0,0,0,0,255321,0.0,0,7,0.0,0.0,mobile
13,27,3G,0,0,0,0,257706,0.0,0,6,0.0,0.0,mobile
14,27,4G_LTE,0,0,253359,0,253360,0.0,0,5,887118.0,0.0,mobile
15,27,4G_NON_LTE,0,0,256825,0,256826,0.0,0,3,353612.0,0.0,mobile
0,29,Cable,60,0,4568,4562,137275,60.0,0,22,4571.0,4563.0,business
1,29,Fiber,33940,0,35714,35543,44438,37598.0,0,59,39905.0,39653.0,business
2,29,Fixed Wireless,23602,0,96982,92091,183996,26545.0,0,58,111716.0,106823.0,business
3,29,Other,536,0,4738,4722,5710,538.0,0,25,4799.0,4777.0,business
4,29,Satellite,0,0,323774,0,343550,0.0,0,4,323774.0,0.0,business
5,29,aDSL,0,0,10402,2923,82784,0.0,0,53,11247.0,3704.0,business
6,29,Cable,0,0,133849,130498,137133,0.0,0,18,136043.0,131920.0,consumer
7,29,Fiber,34853,0,41237,39263,41962,35504.0,0,40,42391.0,40076.0,consumer
8,29,Fixed Wireless,2196,0,63696,35448,204991,2197.0,0,67,66719.0,35490.0,consumer
9,29,Other,0,0,0,0,103,0.0,0,3,0.0,0.0,consumer
10,29,Satellite,0,0,343550,0,343565,0.0,0,3,667276.0,0.0,consumer
11,29,aDSL,0,0,58758,35387,165583,0.0,0,48,61433.0,36183.0,consumer
12,29,2G,0,0,0,0,341257,0.0,0,8,0.0,0.0,mobile
13,29,3G,0,0,0,0,342719,0.0,0,9,0.0,0.0,mobile
14,29,4G_LTE,0,0,337774,0,337775,0.0,0,8,1321368.0,0.0,mobile
15,29,4G_NON_LTE,0,0,336480,0,336481,0.0,0,3,479001.0,0.0,mobile
0,39,Cable,0,0,9088,8453,254262,0.0,0,29,9096.0,8460.0,business
1,39,Fiber,33110,0,39148,37590,53402,35336.0,0,69,43500.0,41479.0,business
2,39,Fixed Wireless,4,0,68739,51478,160106,4.0,0,47,71171.0,51510.0,business
3,39,Other,557,0,1831,1744,5270,561.0,0,35,1908.0,1791.0,business
4,39,Satellite,0,0,352542,0,363479,0.0,0,4,352542.0,0.0,business
5,39,aDSL,0,0,6215,2452,126594,0.0,0,46,6423.0,2568.0,business
6,39,Cable,396,0,260599,255403,261882,396.0,0,31,281571.0,275376.0,consumer
7,39,Fiber,10196,0,18467,17174,20688,10206.0,0,41,18898.0,17579.0,consumer
8,39,Fixed Wireless,996,0,22306,1116,136147,996.0,0,47,24427.0,1116.0,consumer
9,39,Other,0,0,37,0,95,0.0,0,2,37.0,0.0,consumer
10,39,Satellite,0,0,363479,0,365344,0.0,0,3,653447.0,0.0,consumer
11,39,aDSL,0,0,129274,51509,233329,0.0,0,41,147194.0,51713.0,consumer
12,39,2G,0,0,0,0,361011,0.0,0,4,0.0,0.0,mobile
13,39,3G,0,0,0,0,363988,0.0,0,4,0.0,0.0,mobile
14,39,4G_LTE,0,0,363087,0,363088,0.0,0,5,1362185.0,0.0,mobile
15,39,4G_NON_LTE,0,0,363096,0,363097,0.0,0,2,596142.0,0.0,mobile
0,17,Cable,0,0,3401,3386,249766,0.0,0,21,3402.0,3386.0,business
1,17,Fiber,13964,0,16439,16116,31961,15324.0,0,97,18578.0,18244.0,business
2,17,Fixed Wireless,192882,0,230518,199291,273328,197955.0,0,71,292555.0,206707.0,business
3,17,Other,8477,0,9969,9777,15210,8500.0,0,40,10236.0,9968.0,business
4,17,Satellite,0,0,437591,0,451554,0.0,0,4,437591.0,0.0,business
5,17,aDSL,0,0,9306,8079,137966,0.0,0,64,9681.0,8080.0,business
6,17,Cable,0,0,241560,240061,241919,0.0,0,19,269581.0,265971.0,consumer
7,17,Fiber,8829,0,19063,16118,21191,8856.0,0,65,19339.0,16365.0,consumer
8,17,Fixed Wireless,8202,0,230794,117355,309786,8202.0,0,73,301456.0,144374.0,consumer
9,17,Other,46,0,98,94,122,46.0,0,8,103.0,97.0,consumer
10,17,Satellite,0,0,451554,0,451554,0.0,0,3,889145.0,0.0,consumer
11,17,aDSL,0,0,172460,92992,299476,0.0,0,59,199715.0,92992.0,consumer
12,17,2G,0,0,0,0,451187,0.0,0,8,0.0,0.0,mobile
13,17,3G,0,0,0,0,451539,0.0,0,7,0.0,0.0,mobile
14,17,4G_LTE,0,0,451163,0,451164,0.0,0,9,1749936.0,0.0,mobile
15,17,4G_NON_LTE,0,0,448317,0,448318,0.0,0,4,719812.0,0.0,mobile
0,11,Cable,0,0,19,16,5075,0.0,0,5,19.0,16.0,business
1,11,Fiber,559,0,658,651,3323,800.0,0,23,1110.0,1095.0,business
2,11,Fixed Wireless,4,0,4835,4834,4836,4.0,0,5,4863.0,4841.0,business
3,11,Other,32,0,311,252,679,36.0,0,13,521.0,369.0,business
4,11,Satellite,0,0,6332,0,6332,0.0,0,3,6332.0,0.0,business
5,11,aDSL,0,0,113,20,4613,0.0,0,12,164.0,21.0,business
6,11,Cable,0,0,4935,4936,4936,0.0,0,2,8903.0,8015.0,consumer
7,11,Fiber,2784,0,2860,2860,2861,2784.0,0,2,2931.0,2931.0,consumer
8,11,Fixed Wireless,0,0,92,0,306,0.0,0,1,92.0,0.0,consumer
9,11,Other,0,0,0,0,1,0.0,0,1,1.0,1.0,consumer
10,11,Satellite,0,0,6331,0,6332,0.0,0,2,12664.0,0.0,consumer
11,11,aDSL,0,0,0,0,4600,0.0,0,2,0.0,0.0,consumer
12,11,2G,0,0,0,0,6507,0.0,0,4,0.0,0.0,mobile
13,11,3G,0,0,0,0,6507,0.0,0,4,0.0,0.0,mobile
14,11,4G_LTE,0,0,6506,0,6507,0.0,0,4,26028.0,0.0,mobile
15,11,4G_NON_LTE,0,0,6506,0,6507,0.0,0,2,13014.0,0.0,mobile
0,26,Cable,0,0,845,179,183722,0.0,0,20,845.0,179.0,business
1,26,Fiber,35764,0,40223,39837,48176,37497.0,0,57,43159.0,42667.0,business
2,26,Fixed Wireless,13,0,13043,625,91018,13.0,0,37,13185.0,625.0,business
3,26,Other,13831,0,21995,21945,30011,13861.0,0,31,24950.0,24856.0,business
4,26,Satellite,0,0,305902,0,329497,0.0,0,4,305902.0,0.0,business
5,26,aDSL,0,0,20863,18024,93211,0.0,0,42,21036.0,18026.0,business
